text,label,clean_text
@TheBarmyArmy looking forward to div 2 next year @AndyBarmyArmy?  #leictershireaway #therey,anger,thebarmyarmy looking forward to div  next year andybarmyarmy  leictershireaway therey
@aGirlHasNo_Name @MdlMurray shot by black police woman Typical looney toon thinking.#Hillary #divide #anger #chaos,anger,agirlhasnoname mdlmurray shot by black police woman typical looney toon thinkinghillary divide anger chaos
Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! ,anger,cant believe virginmedia are putting their prices up they already know im struggling to pay my bill amp wont change my package 
Can't believe @virginmedia are putting their prices up!! They already know I'm struggling to pay my bill &amp; won't change my package!! #raging,anger,cant believe virginmedia are putting their prices up they already know im struggling to pay my bill amp wont change my package raging
Yal aggravate tf outta me acting lying yal can't tell the difference between a dyke and a man. RARELY is it that hard to tell the difference,anger,yal aggravate tf outta me acting lying yal cant tell the difference between a dyke and a man rarely is it that hard to tell the difference
If i could just get my line to block!  #germantownbroncos #lilleague #popwarner #Broncos #usafootball #offense #lineman,anger,if i could just get my line to block  germantownbroncos lilleague popwarner broncos usafootball offense lineman
Star trek online has a update to download oh fuming yay,anger,star trek online has a update to download oh fuming yay
@NewAgeInsiders @ChaoticWrestlin @davienne_long make sure you tell them how scared you are #revenge ðŸ™ŒðŸ¼ðŸ™ŒðŸ¼,anger,newageinsiders chaoticwrestlin daviennelong make sure you tell them how scared you are revenge ðÿ™œðÿ¼ðÿ™œðÿ¼
"@SpookyHelder ...specifically are the cause of it all, and they resent being considered the enemy.",anger,spookyhelder specifically are the cause of it all and they resent being considered the enemy
The war is right outside your door #rage #USAToday,anger,the war is right outside your door rage usatoday
The war is right outside your door  #USAToday,anger,the war is right outside your door  usatoday
"A guy was raging so hard during a rocket league game, when i beat him he started crying and i was laughing so hard lol",anger,a guy was raging so hard during a rocket league game when i beat him he started crying and i was laughing so hard lol
@donlemon listening to these politicians is making me so #angry I'm so fucking tired of political speak by career politicians @PatMcCroryNC,anger,donlemon listening to these politicians is making me so angry im so fucking tired of political speak by career politicians patmccrorync
Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat #snap #country #countrygirl,anger,bored rn leave kiksnapchat kik kikme kikmessage boredaf bored snapchatme snapchat snap country countrygirl
Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl,anger,bored rn leave kiksnapchat kik kikme kikmessage boredaf bored snapchatme snapchat  country countrygirl
"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? #boiling",anger,easyjet hi folks flight is going to be over an hour late departing from inv  how do we go about getting a refund please boiling
"@easyJet Hi folks. Flight is going to be over an hour late departing from INV (EZY864), how do we go about getting a refund please? ",anger,easyjet hi folks flight is going to be over an hour late departing from inv  how do we go about getting a refund please 
@louiseannexx u fucked my house up I'll always hold a grudge,anger,louiseannexx u fucked my house up ill always hold a grudge
@josefcd904 @Reddou_Kun @deven_luca @supersoniclemon He also likes incurring Lily's wrath.,anger, reddoukun devenluca supersoniclemon he also likes incurring lilys wrath
@ReadingFC @EFLCup - remind them 'Twenty's Plenty' #revenge!,anger,readingfc eflcup  remind them twentys plenty revenge
@ReadingFC @EFLCup - remind them 'Twenty's Plenty' !,anger,readingfc eflcup  remind them twentys plenty 
@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite #inflame,anger,twojacksdetail bluelivesmtr very rare an officer just shoots without regard they dont want that on their conscience incite inflame
@twojacksdetail @bluelivesmtr Very rare an officer just shoots without regard. They don't want that on their conscience. #incite ,anger,twojacksdetail bluelivesmtr very rare an officer just shoots without regard they dont want that on their conscience incite 
"@FakingALeto Gerard finally made it up the stairs with a little huff, his face a little more red than it was before. Having little legs --",anger,fakingaleto gerard finally made it up the stairs with a little huff his face a little more red than it was before having little legs 
After what just happened. In need to smoke. #burning,anger,after what just happened in need to smoke burning
After what just happened. In need to smoke. ,anger,after what just happened in need to smoke 
I really wish my road rage wasn't so damn bad lmaooooo,anger,i really wish my road rage wasnt so damn bad lmaooooo
"@__lucymellor No idea, just exhausted and I was tidying my room and just burst out crying ... fs",anger,lucymellor no idea just exhausted and i was tidying my room and just burst out crying  fs
"@NahteWilly @AFP that was neither intelligent, definitive or useful shall I name call or would you like to expand on how I have offend you ?",anger,nahtewilly afp that was neither intelligent definitive or useful shall i name call or would you like to expand on how i have offend you 
when you think you've got it together for a day then you randomly burst out crying,anger,when you think youve got it together for a day then you randomly burst out crying
"You offend me, @Tansorma",anger,you offend me tansorma
@jamielamieee @gerbicapiral_ @Dory then I look at you and we burst out laughing,anger,jamielamieee gerbicapiral dory then i look at you and we burst out laughing
"@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz #sting #HONEY",anger,wellermonica hi monica i write regularly for ctysmallholding   but not on bees  never dared try them buzz sting honey
"@WellerMonica Hi Monica, I write regularly for @ctysmallholding  - but not on bees - never dared try them #buzz  #HONEY",anger,wellermonica hi monica i write regularly for ctysmallholding   but not on bees  never dared try them buzz  honey
@smendler (2)  Watch out for ppl who have been filled w/ impotent rage over time - they can be led to do just about anything,anger,smendler   watch out for ppl who have been filled w impotent rage over time  they can be led to do just about anything
I just killed a spider so big it sprayed spider guts on me like a horror movie.\n#ugh #revenge,anger,i just killed a spider so big it sprayed spider guts on me like a horror movienugh revenge
@SopanDeb @johnrobertsFox @azizansari Let's not stereotype all South Asians as relentless beat reporters.,anger,sopandeb johnrobertsfox azizansari lets not stereotype all south asians as relentless beat reporters
@Alex_Philip2648 it's a step up from boiling broccoli tbh,anger, its a step up from boiling broccoli tbh
@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus ,anger,rohanconnolly i think your highprofile female colleague would be one in yhat category massexodus 
@rohan_connolly i think your high-profile female colleague would be one in yhat category... #massexodus #bitter,anger,rohanconnolly i think your highprofile female colleague would be one in yhat category massexodus bitter
"@EE whats with the 50p a minute charge to 150, insult to injury",anger,ee whats with the  a minute charge to  insult to injury
"Last night, the Rev. Dr. Earl Johnson spoke to Wake Progressive #Democrats on transforming #moral #outrage into effective political #action.",anger,last night the rev dr earl johnson spoke to wake progressive democrats on transforming moral outrage into effective political action
Repeal/remove the 'Johnson Amendment'. It is a direct affront to the First Amendment of the Constitution.,anger,repealremove the johnson amendment it is a direct affront to the first amendment of the constitution
I HATE little girls ðŸ˜¡ðŸ˜¡ got a lot off growing up to do!!! #fuming,anger,i hate little girls ðÿ˜¡ðÿ˜¡ got a lot off growing up to do fuming
I HATE little girls ðŸ˜¡ðŸ˜¡ got a lot off growing up to do!!! ,anger,i hate little girls ðÿ˜¡ðÿ˜¡ got a lot off growing up to do 
"-- used as a pawn in this red woman's game] For now, try not to fret and act as if nothing is amiss. This is a royal -- @TheLadyOfGlenco",anger, used as a pawn in this red womans game for now try not to fret and act as if nothing is amiss this is a royal  theladyofglenco
Police: Atlanta rapper Shawty Lo killed in fiery car crash,anger,police atlanta rapper shawty lo killed in fiery car crash
@JamieRJN She's all over the political map in her relentless pursuit of power.,anger,jamierjn shes all over the political map in her relentless pursuit of power
No one's gonna chill bc fake outrage is fun or w/e but SPACE COLLEGE,anger,no ones gonna chill bc fake outrage is fun or we but space college
I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.,anger,i almost feel offended that she thinks thats a big deal shes knows ill literally do anything for her or kai
"And to discriminate only generates hate\nAnd when you hate then you're bound to get irate,",anger,and to discriminate only generates hatenand when you hate then youre bound to get irate
Weak people revenge. Strong people forgive. Intelligent people ignore.,anger,weak people revenge strong people forgive intelligent people ignore
I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene #anger #fuck #die #hatered,anger,i wanna kill you and destroy you i want you died and i want flint back emo scene anger fuck die hatered
I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered,anger,i wanna kill you and destroy you i want you died and i want flint back emo scene  fuck die hatered
I wanna kill you and destroy you. I want you died and I want her back. #emo #scene  #fuck #die #hatered,anger,i wanna kill you and destroy you i want you died and i want her back emo scene  fuck die hatered
I wanna kill you and destroy you. I want you died and I want her back. #emo #scene #anger #fuck #die #hatered,anger,i wanna kill you and destroy you i want you died and i want her back emo scene anger fuck die hatered
Using multiple combs simultaneously is what I like to call impressive work!!    ;-O  #ohsnap #daaamn,anger,using multiple combs simultaneously is what i like to call impressive work    o  ohsnap daaamn
Using multiple combs simultaneously is what I like to call impressive work!!    ;-O #snap #ohsnap #daaamn,anger,using multiple combs simultaneously is what i like to call impressive work    o snap ohsnap daaamn
Nothing is more relentless than a dog begging for food,anger,nothing is more relentless than a dog begging for food
ok so i got my madden 17 refunded but now i gotta wait a few days for the money and now gotta pre-order fifa again....,anger,ok so i got my madden  refunded but now i gotta wait a few days for the money and now gotta preorder fifa again
@Deadspin @Rlblack1Rob My guess is he's just a convenient target for misplaced anger.  What they're really mad at is how they played.,anger,deadspin  my guess is hes just a convenient target for misplaced anger  what theyre really mad at is how they played
People that smoke cigarettes irritate my soul.,anger,people that smoke cigarettes irritate my soul
Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' ðŸ˜‚ ,anger,favourite quote of the year so far is by ameliameech i swore at a parsnip ðÿ˜‚ 
Favourite quote of the year so far is by @ameliameech 'I swore at a parsnip' ðŸ˜‚ #raging,anger,favourite quote of the year so far is by ameliameech i swore at a parsnip ðÿ˜‚ raging
Threat factors in respect to provocation bulb worm: BnQo,anger,threat factors in respect to provocation bulb worm bnqo
#Scorpio always seek revenge!,anger,scorpio always seek revenge
"â€” Self-hatred gives rise to fury, fury to the desire for self-change.",anger,â€” selfhatred gives rise to fury fury to the desire for selfchange
You sting like a bee but you're still my honey.,anger,you sting like a bee but youre still my honey
"if u have time 2 open a snap, u have time 2 respond",anger,if u have time  open a snap u have time  respond
"This may offend some, but I say u never trust a cop ðŸš“ of any color, but especially not a white 1(the evidence is clear)! The klan has awoke",anger,this may offend some but i say u never trust a cop ðÿš“ of any color but especially not a white  evidence is clear the klan has awoke
"@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. #fuming",anger,joeshennan meanwhile joshuamurraybm and i are getting a  train i hope you really really enjoy that hotel shennan fuming
"@JoeShennan Meanwhile @JoshuaMurrayBM and I are getting a 7.40am train. I hope you really, really enjoy that hotel, Shennan. ",anger,joeshennan meanwhile joshuamurraybm and i are getting a  train i hope you really really enjoy that hotel shennan 
"#ForgivenessÂ might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and #revenge.",anger,forgivenessâ might make us look weak but the weakest person is the one who holds anger hatred and revenge
"#ForgivenessÂ might make us look #weak, but the weakest person is the one who holds #anger, #hatred, and .",anger,forgivenessâ might make us look weak but the weakest person is the one who holds anger hatred and 
@WinchesterGank If only. Lol I just wish once he understood the crazy of his rabid fans &amp; addressed it.,anger,winchestergank if only lol i just wish once he understood the crazy of his rabid fans amp addressed it
The way @AvailableCar wash their hands of their mistakes is disgraceful. Left driving round on a tyre that can burst at any moment,anger,the way availablecar wash their hands of their mistakes is disgraceful left driving round on a tyre that can burst at any moment
"People will talk, words will sting, but how you handle that is what differs you from them. Be like them or change the culture?#BeDifferent",anger,people will talk words will sting but how you handle that is what differs you from them be like them or change the culturebedifferent
"Be quick to #listen, slow to #speak, and slow to #anger.",anger,be quick to listen slow to speak and slow to anger
"Be quick to #listen, slow to #speak, and slow to .",anger,be quick to listen slow to speak and slow to 
"@Yannarell @LOLGOP Despite your #outrage fatigue, don't lose your shine",anger,yannarell lolgop despite your outrage fatigue dont lose your shine
Police don't wanna be called pigs but they keep actin like em....honestly that's even an insult to pigs,anger,police dont wanna be called pigs but they keep actin like emhonestly thats even an insult to pigs
troubled soul don't loose your heart 'cause joy and peace he brings and the beauty that's in store outweighs the hurt of life's sting.,anger,troubled soul dont loose your heart cause joy and peace he brings and the beauty thats in store outweighs the hurt of lifes sting
We floated like butterflies. Now you sting like bees!',anger,we floated like butterflies now you sting like bees
"I don't like pineapple I only eat them on pizza, they lose the sting when they get cooked.",anger,i dont like pineapple i only eat them on pizza they lose the sting when they get cooked
Ok but how are the fast &amp; furious movies NOT classified as comedy's? ðŸ¤”,anger,ok but how are the fast amp furious movies not classified as comedys ðÿ¤”
@Shonna_Ludi @_braaaat_ ðŸ˜‚ðŸ˜‚ðŸ˜­ðŸ˜­ðŸ˜­ resentment,anger,shonnaludi braaaat ðÿ˜‚ðÿ˜‚ðÿ˜­ðÿ˜­ðÿ˜­ resentment
no offense but the doctor crying tears of joy after realizing he has a family for christmas is Cute,anger,no offense but the doctor crying tears of joy after realizing he has a family for christmas is cute
@JankHambrams You sound like my husband @Enistachia ... he makes hotter and hotter sauce - the fiery torment brings him mouth-joy! ðŸ”¥,anger,jankhambrams you sound like my husband enistachia  he makes hotter and hotter sauce  the fiery torment brings him mouthjoy ðÿ”¥
"warning: i am a sensitive, angry, insecure baby today, but UGH why do people at large either hate or ignore me bc it is literally~the worst~",anger,warning i am a sensitive angry insecure baby today but ugh why do people at large either hate or ignore me bc it is literallythe worst
Karev better not be out!!! Or I am seriously done DONE with @GreysABC  #unfair #ugh,anger,karev better not be out or i am seriously done done with greysabc  unfair ugh
A black female LEOðŸ’™ was shot 8 times and died in Philadelphia --Where's the #outrage black people? @BarackObama #Sharpton #blm #TheFive,anger,a black female leoðÿ’™ was shot  times and died in philadelphia wheres the outrage black people barackobama sharpton blm thefive
@JessicaValenti @nytimes I don't know... Wasn't punk mostly about white men throwing tantrums?,anger,jessicavalenti nytimes i dont know wasnt punk mostly about white men throwing tantrums
Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower #anger #rawr #ChicagoPD,anger,oh daaaaaaamn sophiabush getitgirl girlpower anger rawr chicagopd
Oh daaaaaaamn @SophiaBush! #getitgirl #girlpower  #rawr #ChicagoPD,anger,oh daaaaaaamn sophiabush getitgirl girlpower  rawr chicagopd
I'm deleting all these social media apps off my phone. I might keep snap chat and insta but I'll never be on it.,anger,im deleting all these social media apps off my phone i might keep snap chat and insta but ill never be on it
Panpiper playing Big River outside The Bridges in SR1 #outrage,anger,panpiper playing big river outside the bridges in  outrage
Panpiper playing Big River outside The Bridges in SR1 ,anger,panpiper playing big river outside the bridges in  
I base when it's going to rain here off of brills snap stories.,anger,i base when its going to rain here off of brills snap stories
@ColinOccupantz @JasnaBadzak @proremain and there was I thinking #UKIP were a party of angry old men - how wrong can you be!,anger,colinoccupantz jasnabadzak proremain and there was i thinking ukip were a party of angry old men  how wrong can you be
"@mattstottwrites For me not so much outrage as â€˜oh, using female body to sell something, AGAINâ€™",anger,mattstottwrites for me not so much outrage as â€˜oh using female body to sell something againâ€™
Congrats to #Nicole #bb18 ... Fix that nose now ðŸ˜’ðŸ’ðŸ» #bitter #petty,anger,congrats to nicole   fix that nose now ðÿ˜’ðÿ’ðÿ» bitter petty
Congrats to #Nicole #bb18 ... Fix that nose now ðŸ˜’ðŸ’ðŸ»  #petty,anger,congrats to nicole   fix that nose now ðÿ˜’ðÿ’ðÿ»  petty
"I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of Â£20 - I was fuming @EmmaGould_ I miss you",anger,i had golden ocean the other day it was lush then i gagged and was sick what a waste of â£  i was fuming emmagould i miss you
@PearseDoherty @harrymcgee @IrishTimes That might sting for a bit lads but you'll get over it.     #betterwithsinnfein,anger,pearsedoherty harrymcgee irishtimes that might sting for a bit lads but youll get over it     betterwithsinnfein
No offense but to the ppl out there using creams to build your glutes...COME ON. Go squat and what not.,anger,no offense but to the ppl out there using creams to build your glutescome on go squat and what not
This is a joke @SomersetCCC #fuming,anger,this is a joke somersetccc fuming
This is a joke @SomersetCCC ,anger,this is a joke somersetccc 
"@UMA1R_ @bilalmahmooduk @Muslim_Scientst i do not offend your Faith unless 1 persecutes me, treat me like a dog, disrespect me and even so",anger, bilalmahmooduk muslimscientst i do not offend your faith unless  persecutes me treat me like a dog disrespect me and even so
The patriots have the lamest color rush jerseys in the whole nfl #madden (I hope they wear them tonight),anger,the patriots have the lamest color rush jerseys in the whole nfl madden i hope they wear them tonight
no offense but could troye start dming people so i can feel like less of an idiot when i dm him thanks,anger,no offense but could troye start dming people so i can feel like less of an idiot when i dm him thanks
"ForgivenessÂ might make us look weak, but the weakest person is the one who holds anger, hatred, and revenge.",anger,forgivenessâ might make us look weak but the weakest person is the one who holds anger hatred and revenge
Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!! #fume #instagram,anger,instagram seriously sort your sht out i spent ages writing that caption for you to delete it and not post it fume instagram
Instagram seriously sort your sh*t out. I spent ages writing that caption for you to delete it and not post it!!  #instagram,anger,instagram seriously sort your sht out i spent ages writing that caption for you to delete it and not post it  instagram
Trump supports reach another level of irritation within me,anger,trump supports reach another level of irritation within me
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. #angry #stop,anger,people you need to look up the definition of protest what you are doing is not protesting is called vandalism angry stop
People you need to look up the definition of protest. What you are doing is not protesting is called vandalism.  #stop,anger,people you need to look up the definition of protest what you are doing is not protesting is called vandalism  stop
RE: #politicallycorrect #BS   What if I am #offended by your assumption the USA should change because you are a 'visitor' &amp; don't like it?,anger,re politicallycorrect bs   what if i am offended by your assumption the usa should change because you are a visitor amp dont like it
@NJDDanin123 I personally liked #relentless â€¦didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils,anger, i personally liked relentless â€¦didnt get ourhouse onejersey werealldevilsinside ndoes nothing till a puck drops njdevils
@Who_JN I've been having a quad shot every day and can sleep right after... it's time to detox ðŸ˜… I get raging migraines without coffee :/,anger,whojn ive been having a quad shot every day and can sleep right after its time to detox ðÿ˜… i get raging migraines without coffee 
@THATSSHAWTYLO passed away early this morning in a fast and furious styled car crash as he was leaving an ATL strip club. That's rough stuff,anger,thatsshawtylo passed away early this morning in a fast and furious styled car crash as he was leaving an atl strip club thats rough stuff
@inthefade going back to blissful ignorance?! #fury,anger,inthefade going back to blissful ignorance fury
@inthefade going back to blissful ignorance?! ,anger,inthefade going back to blissful ignorance 
@MarianKeyes the pout tips me over the edge. I am most definitely AGIN. Who the feic bakes with full make up and boots with heels!!!!,anger,mariankeyes the pout tips me over the edge i am most definitely agin who the feic bakes with full make up and boots with heels
ethan was with someone in the car when he did his revenge on grayson,anger,ethan was with someone in the car when he did his revenge on grayson
@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger,jonfavs don king is an insult to the intelligence of the black community  what are these people thinking
@zavierdaniels had to snap going crazy ðŸ˜­ðŸ˜­,anger,zavierdaniels had to snap going crazy ðÿ˜­ðÿ˜­
Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. ,anger,got a  tip from a drunk uber passenger today i get a  parking ticket id blame karma but my dumb ass forgot to pay the meter 
Got a $20 tip from a drunk Uber passenger. Today I get a $25 parking ticket. I'd blame karma but my dumb ass forgot to pay the meter. #rage,anger,got a  tip from a drunk uber passenger today i get a  parking ticket id blame karma but my dumb ass forgot to pay the meter rage
If I do my homework now I can watch revenge and possibly go out tonight'\n*plays on phone for 2 hours to avoid doing homework,anger,if i do my homework now i can watch revenge and possibly go out tonightnplays on phone for  hours to avoid doing homework
@MegMuphet I wasn't meaning to offend you. I was saying from personal experience. Kids got placed into these classes and they take advantage,anger,megmuphet i wasnt meaning to offend you i was saying from personal experience kids got placed into these classes and they take advantage
@SINice Damn..  Lol..  Maybe it is for the best though..  Her brother might still be lookin for revenge ðŸ˜‚,anger,sinice damn  lol  maybe it is for the best though  her brother might still be lookin for revenge ðÿ˜‚
@Red_Magpie @ali_faceache1 @joanna_caron @KCBFD @xMATTxLAWx he's not exactly a rabid tub thumper compared to McTernan now is he.,anger,redmagpie  joannacaron kcbfd xmattxlawx hes not exactly a rabid tub thumper compared to mcternan now is he
Dear hipster behind me at the game I am finding it very hard to pay attention while you talk about the politics of grapes of wrath. SHUT UP!,anger,dear hipster behind me at the game i am finding it very hard to pay attention while you talk about the politics of grapes of wrath shut up
